datetime,count
2011-01-20 00:00:00,12.37
2011-01-20 01:00:00,5.02
2011-01-20 02:00:00,3.88
2011-01-20 03:00:00,3.47
2011-01-20 04:00:00,2.86
2011-01-20 05:00:00,6.77
2011-01-20 06:00:00,37.25
2011-01-20 07:00:00,106.54
2011-01-20 08:00:00,241.25
2011-01-20 09:00:00,133.94
2011-01-20 10:00:00,61.77
2011-01-20 11:00:00,61.41
2011-01-20 12:00:00,80.62
2011-01-20 13:00:00,72.4
2011-01-20 14:00:00,81.62
2011-01-20 15:00:00,85.72
2011-01-20 16:00:00,97.71
2011-01-20 17:00:00,209.29
2011-01-20 18:00:00,180.85
2011-01-20 19:00:00,102.01
2011-01-20 20:00:00,70.7
2011-01-20 21:00:00,51.31
2011-01-20 22:00:00,46.71
2011-01-20 23:00:00,25.3
2011-01-21 00:00:00,14.79
2011-01-21 01:00:00,7.65
2011-01-21 02:00:00,4.786666666666667
2011-01-21 03:00:00,2.29
2011-01-21 04:00:00,2.06
2011-01-21 05:00:00,3.66
2011-01-21 06:00:00,34.36
2011-01-21 07:00:00,100.49
2011-01-21 08:00:00,204.16
2011-01-21 09:00:00,131.02
2011-01-21 10:00:00,51.54
2011-01-21 11:00:00,63.19
2011-01-21 12:00:00,72.27
2011-01-21 13:00:00,68.78
2011-01-21 14:00:00,66.18
2011-01-21 15:00:00,63.3
2011-01-21 16:00:00,78.35
2011-01-21 17:00:00,153.12
2011-01-21 18:00:00,153.93
2011-01-21 19:00:00,105.66
2011-01-21 20:00:00,64.61
2011-01-21 21:00:00,46.86
2011-01-21 22:00:00,32.22
2011-01-21 23:00:00,20.05
2011-01-22 00:00:00,25.99
2011-01-22 01:00:00,16.87
2011-01-22 02:00:00,13.83
2011-01-22 03:00:00,7.99
2011-01-22 04:00:00,2.92
2011-01-22 06:00:00,5.07
2011-01-22 07:00:00,18.82
2011-01-22 08:00:00,28.97
2011-01-22 09:00:00,39.72666666666667
2011-01-22 10:00:00,57.33
2011-01-22 11:00:00,61.76
2011-01-22 12:00:00,74.48
2011-01-22 13:00:00,79.75
2011-01-22 14:00:00,73.62
2011-01-22 15:00:00,74.98
2011-01-22 16:00:00,75.55
2011-01-22 17:00:00,86.81
2011-01-22 18:00:00,62.47
2011-01-22 19:00:00,40.7
2011-01-22 20:00:00,43.91
2011-01-22 21:00:00,39.31
2011-01-22 22:00:00,30.94
2011-01-22 23:00:00,20.32
2011-01-23 00:00:00,28.25
2011-01-23 01:00:00,20.08
2011-01-23 02:00:00,14.04
2011-01-23 03:00:00,15.59
2011-01-23 05:00:00,2.96
2011-01-23 06:00:00,2.74
2011-01-23 07:00:00,7.66
2011-01-23 08:00:00,16.63
2011-01-23 09:00:00,27.246666666666666
2011-01-23 10:00:00,53.66
2011-01-23 11:00:00,59.77
2011-01-23 12:00:00,71.53
2011-01-23 13:00:00,68.8
2011-01-23 14:00:00,71.98
2011-01-23 15:00:00,71.93
2011-01-23 16:00:00,74.62
2011-01-23 17:00:00,75.01
2011-01-23 18:00:00,71.8
2011-01-23 19:00:00,46.63
2011-01-23 20:00:00,33.93
2011-01-23 21:00:00,30.83
2011-01-23 22:00:00,20.7
2011-01-23 23:00:00,14.34
2011-01-24 00:00:00,10.44
2011-01-24 01:00:00,4.82
2011-01-24 03:00:00,1.93
2011-01-24 04:00:00,2.4
2011-01-24 05:00:00,6.11
2011-01-24 06:00:00,32.58
2011-01-24 07:00:00,81.7
2011-01-24 08:00:00,184.18
2011-01-24 09:00:00,108.98
2011-01-24 10:00:00,42.3
2011-01-24 11:00:00,38.73
2011-01-24 12:00:00,49.38
2011-01-24 13:00:00,44.55
2011-01-24 14:00:00,41.96
2011-01-24 15:00:00,54.94
2011-01-24 16:00:00,69.17
2011-01-24 17:00:00,154.13
2011-01-24 18:00:00,151.06
2011-01-24 19:00:00,96.25
2011-01-24 20:00:00,63.23
2011-01-24 21:00:00,48.82
2011-01-24 22:00:00,25.44
2011-01-24 23:00:00,19.13
2011-01-25 00:00:00,8.93
2011-01-25 01:00:00,3.39
2011-01-25 02:00:00,2.03
2011-01-25 04:00:00,1.66
2011-01-25 05:00:00,5.72
2011-01-25 06:00:00,34.18
2011-01-25 07:00:00,83.35
2011-01-25 08:00:00,208.61
2011-01-25 09:00:00,119.91
2011-01-25 10:00:00,57.4
2011-01-25 11:00:00,58.5
2011-01-25 12:00:00,68.88
2011-01-25 13:00:00,70.96
2011-01-25 14:00:00,71.79
2011-01-25 15:00:00,72.51
2011-01-25 16:00:00,95.05
2011-01-25 17:00:00,217.19
2011-01-25 18:00:00,203.81
2011-01-25 19:00:00,110.91
2011-01-25 20:00:00,70.36
2011-01-25 21:00:00,53.65
2011-01-25 22:00:00,38.26
2011-01-25 23:00:00,20.4
2011-01-26 00:00:00,8.35
2011-01-26 01:00:00,5.69
2011-01-26 02:00:00,3.0700000000000007
2011-01-26 05:00:00,2.98
2011-01-26 06:00:00,26.7
2011-01-26 07:00:00,68.92
2011-01-26 08:00:00,149.96
2011-01-26 09:00:00,102.76
2011-01-26 10:00:00,63.13
2011-01-26 11:00:00,56.48
2011-01-26 12:00:00,55.65
2011-01-26 13:00:00,54.42
2011-01-26 14:00:00,52.21
2011-01-26 15:00:00,48.91
2011-01-26 16:00:00,69.56
2011-01-26 17:00:00,117.46
2011-01-27 16:00:00,74.98
2011-01-27 17:00:00,165.47
2011-01-27 18:00:00,139.09
2011-01-27 19:00:00,97.12
2011-01-27 20:00:00,78.34
2011-01-27 21:00:00,57.97
2011-01-27 22:00:00,42.29
2011-01-27 23:00:00,25.67
2011-01-28 00:00:00,12.44
2011-01-28 01:00:00,6.95
2011-01-28 02:00:00,2.41
2011-01-28 03:00:00,1.81
2011-01-28 05:00:00,6.44
2011-01-28 06:00:00,30.33
2011-01-28 07:00:00,88.87
2011-01-28 08:00:00,211.79
2011-01-28 09:00:00,84.71
2011-01-28 10:00:00,39.9
